Company1,Company2,Weight
TRA_Co_2,AGR_Co_9,0.005
TRA_Co_2,AGR_Co_10,0.0136
TRA_Co_2,AGR_Co_12,0.0058
TRA_Co_2,AGR_Co_14,0.02
TRA_Co_2,AGR_Co_15,0.011
TRA_Co_2,AGR_Co_16,0.0023
TRA_Co_2,AGR_Co_20,0.0222
TRA_Co_2,TEL_Co_3,0.0139
TRA_Co_2,TEL_Co_4,0.0027
TRA_Co_2,TEL_Co_5,0.0013
TRA_Co_2,TEL_Co_9,0.0048
TRA_Co_2,TEL_Co_10,0.0022
TRA_Co_2,TEL_Co_11,0.0049
TRA_Co_2,TEL_Co_13,0.0014
TRA_Co_2,TEL_Co_14,0.0109
TRA_Co_2,TEL_Co_16,0.0034
TRA_Co_2,TEL_Co_18,0.0132
TRA_Co_2,TEL_Co_19,0.002
TRA_Co_2,MED_Co_2,0.0018
TRA_Co_2,MED_Co_3,0.0019
TRA_Co_2,MED_Co_5,0.0192
TRA_Co_2,MED_Co_6,0.0138
TRA_Co_2,MED_Co_9,0.0095
TRA_Co_2,MED_Co_10,0.0013
TRA_Co_2,MED_Co_11,0.0052
TRA_Co_2,MED_Co_12,0.0014
TRA_Co_2,MED_Co_14,0.0096
TRA_Co_2,MED_Co_15,0.0183
TRA_Co_2,MED_Co_17,0.0019
TRA_Co_2,MED_Co_19,0.0143
TRA_Co_2,MED_Co_20,0.0014
TRA_Co_2,GOV_Co_2,0.0022
TRA_Co_2,GOV_Co_5,0.0034
TRA_Co_2,GOV_Co_7,0.0029
TRA_Co_2,GOV_Co_8,0.0023
TRA_Co_2,GOV_Co_9,0.0041
TRA_Co_2,GOV_Co_11,0.0018
TRA_Co_2,GOV_Co_12,0.0043
TRA_Co_2,GOV_Co_13,0.0087
TRA_Co_2,GOV_Co_17,0.0011
TRA_Co_2,GOV_Co_18,0.0053
TRA_Co_2,GOV_Co_19,0.0055
TRA_Co_3,TRA_Co_4,0.0031
TRA_Co_3,TRA_Co_5,0.0017
TRA_Co_3,TRA_Co_6,0.011
TRA_Co_3,TRA_Co_7,0.0012
TRA_Co_3,TRA_Co_8,0.0074
TRA_Co_3,TRA_Co_10,0.0019
TRA_Co_3,TRA_Co_11,0.0358
TRA_Co_3,TRA_Co_13,0.0094
TRA_Co_3,TRA_Co_14,0.0072
TRA_Co_3,TRA_Co_15,0.0213
TRA_Co_3,TRA_Co_16,0.0214
TRA_Co_3,TRA_Co_17,0.0221
TRA_Co_3,TRA_Co_20,0.0108
TRA_Co_3,MAN_Co_2,0.0012
TRA_Co_3,MAN_Co_6,0.0014
TRA_Co_3,MAN_Co_7,0.0019
TRA_Co_3,MAN_Co_12,0.0012
TRA_Co_3,MAN_Co_15,0.0013
TRA_Co_3,INF_Co_1,0.0014
TRA_Co_3,INF_Co_2,0.0017
TRA_Co_3,INF_Co_3,0.0069
TRA_Co_3,INF_Co_6,0.01
TRA_Co_3,INF_Co_7,0.0026
TRA_Co_3,INF_Co_9,0.0121
TRA_Co_3,INF_Co_15,0.0072
TRA_Co_3,INF_Co_16,0.0115
TRA_Co_3,INF_Co_17,0.0037
TRA_Co_3,HEA_Co_1,0.0023
TRA_Co_3,HEA_Co_2,0.0032
TRA_Co_3,HEA_Co_5,0.0098
TRA_Co_3,HEA_Co_8,0.0011
TRA_Co_3,HEA_Co_10,0.002
TRA_Co_3,HEA_Co_11,0.0021
TRA_Co_3,HEA_Co_12,0.0187
TRA_Co_3,HEA_Co_14,0.0177
TRA_Co_3,HEA_Co_15,0.0037
TRA_Co_3,HEA_Co_17,0.002
TRA_Co_3,HEA_Co_18,0.0042
TRA_Co_3,HEA_Co_19,0.006
TRA_Co_3,CON_Co_3,0.0013
TRA_Co_3,CON_Co_15,0.0013
TRA_Co_3,AGR_Co_3,0.0072
TRA_Co_3,AGR_Co_6,0.0019
TRA_Co_3,AGR_Co_7,0.0207
TRA_Co_3,AGR_Co_8,0.0018
TRA_Co_3,AGR_Co_9,0.0161
TRA_Co_3,AGR_Co_10,0.011
TRA_Co_3,AGR_Co_12,0.0107
TRA_Co_3,AGR_Co_13,0.0013
TRA_Co_3,AGR_Co_14,0.0098
TRA_Co_3,AGR_Co_15,0.0072
TRA_Co_3,AGR_Co_18,0.0199
TRA_Co_3,AGR_Co_20,0.0202
TRA_Co_3,TEL_Co_1,0.0074
TRA_Co_3,TEL_Co_2,0.0038
TRA_Co_3,TEL_Co_3,0.0124
TRA_Co_3,TEL_Co_4,0.0119
TRA_Co_3,TEL_Co_5,0.0057
TRA_Co_3,TEL_Co_7,0.0053
TRA_Co_3,TEL_Co_9,0.0012
TRA_Co_3,TEL_Co_11,0.0028
TRA_Co_3,TEL_Co_12,0.0028
TRA_Co_3,TEL_Co_13,0.0015
TRA_Co_3,TEL_Co_14,0.0062
TRA_Co_3,TEL_Co_15,0.0105
TRA_Co_3,TEL_Co_19,0.0083
TRA_Co_3,TEL_Co_20,0.0014
TRA_Co_3,MED_Co_1,0.0128
TRA_Co_3,MED_Co_4,0.0085
TRA_Co_3,MED_Co_5,0.0125
TRA_Co_3,MED_Co_9,0.0147
TRA_Co_3,MED_Co_11,0.0011
TRA_Co_3,MED_Co_13,0.0114
TRA_Co_3,MED_Co_16,0.0037
TRA_Co_3,MED_Co_17,0.0056
TRA_Co_3,MED_Co_18,0.0147
TRA_Co_3,MED_Co_20,0.0056
TRA_Co_3,GOV_Co_2,0.0016
TRA_Co_3,GOV_Co_3,0.0014
TRA_Co_3,GOV_Co_4,0.0011
TRA_Co_3,GOV_Co_6,0.0033
TRA_Co_3,GOV_Co_11,0.003
TRA_Co_3,GOV_Co_14,0.0049
TRA_Co_3,GOV_Co_17,0.0057
TRA_Co_3,GOV_Co_19,0.0047
TRA_Co_4,TRA_Co_8,0.0167
TRA_Co_4,TRA_Co_11,0.0343
TRA_Co_4,TRA_Co_16,0.0266
TRA_Co_4,TRA_Co_17,0.0067
TRA_Co_4,TRA_Co_18,0.0272
TRA_Co_4,TRA_Co_19,0.0046
TRA_Co_4,TRA_Co_20,0.0322
TRA_Co_4,MAN_Co_4,0.0033
TRA_Co_4,MAN_Co_7,0.0023
TRA_Co_4,MAN_Co_10,0.0036
TRA_Co_4,MAN_Co_16,0.0029
TRA_Co_4,INF_Co_2,0.0061
TRA_Co_4,INF_Co_3,0.0033
TRA_Co_4,INF_Co_5,0.0368
TRA_Co_4,INF_Co_6,0.0029
TRA_Co_4,INF_Co_8,0.005
TRA_Co_4,INF_Co_10,0.0092
TRA_Co_4,INF_Co_11,0.0199
TRA_Co_4,INF_Co_12,0.0067
TRA_Co_4,INF_Co_13,0.0132
TRA_Co_4,INF_Co_14,0.0103
TRA_Co_4,HEA_Co_3,0.0082
TRA_Co_4,HEA_Co_6,0.0304
TRA_Co_4,HEA_Co_8,0.0201
TRA_Co_4,HEA_Co_11,0.0126
TRA_Co_4,HEA_Co_12,0.0182
TRA_Co_4,HEA_Co_13,0.004
TRA_Co_4,HEA_Co_14,0.005
TRA_Co_4,HEA_Co_15,0.0042
TRA_Co_4,HEA_Co_19,0.0082
TRA_Co_4,HEA_Co_20,0.0132
TRA_Co_4,CON_Co_1,0.0023
TRA_Co_4,CON_Co_3,0.0038
TRA_Co_4,CON_Co_17,0.0038
TRA_Co_4,AGR_Co_2,0.0375
TRA_Co_4,AGR_Co_3,0.0239
TRA_Co_4,AGR_Co_6,0.0124
TRA_Co_4,AGR_Co_10,0.0287
TRA_Co_4,AGR_Co_11,0.0052
TRA_Co_4,AGR_Co_14,0.0082
TRA_Co_4,AGR_Co_16,0.0155
TRA_Co_4,TEL_Co_1,0.008
TRA_Co_4,TEL_Co_2,0.0107
TRA_Co_4,TEL_Co_3,0.0031
TRA_Co_4,TEL_Co_7,0.0042
TRA_Co_4,TEL_Co_8,0.0061
TRA_Co_4,TEL_Co_10,0.0057
TRA_Co_4,TEL_Co_14,0.0094
TRA_Co_4,TEL_Co_18,0.0063
TRA_Co_4,TEL_Co_20,0.0059
TRA_Co_4,MED_Co_3,0.0052
TRA_Co_4,MED_Co_11,0.0124
TRA_Co_4,MED_Co_14,0.0098
TRA_Co_4,MED_Co_15,0.0025
TRA_Co_4,MED_Co_16,0.0193
TRA_Co_4,MED_Co_17,0.0167
TRA_Co_4,MED_Co_19,0.022
TRA_Co_4,GOV_Co_8,0.0128
TRA_Co_4,GOV_Co_10,0.0052
TRA_Co_4,GOV_Co_11,0.0084
TRA_Co_4,GOV_Co_12,0.0084
TRA_Co_4,GOV_Co_16,0.0025
TRA_Co_4,GOV_Co_17,0.0063
TRA_Co_4,GOV_Co_18,0.0036
TRA_Co_4,GOV_Co_20,0.0067
TRA_Co_5,TRA_Co_6,0.0027
TRA_Co_5,TRA_Co_7,0.0148
TRA_Co_5,TRA_Co_8,0.0153
TRA_Co_5,TRA_Co_9,0.0019
TRA_Co_5,TRA_Co_10,0.0334
TRA_Co_5,TRA_Co_11,0.0047
TRA_Co_5,TRA_Co_12,0.0074
TRA_Co_5,TRA_Co_13,0.007
TRA_Co_5,TRA_Co_14,0.0255
TRA_Co_5,TRA_Co_15,0.0071
TRA_Co_5,TRA_Co_18,0.0017
TRA_Co_5,MAN_Co_8,0.0012
TRA_Co_5,MAN_Co_9,0.0012
TRA_Co_5,MAN_Co_15,0.0014
TRA_Co_5,INF_Co_4,0.0129
TRA_Co_5,INF_Co_6,0.0051
TRA_Co_5,INF_Co_7,0.0013
TRA_Co_5,INF_Co_12,0.0014
TRA_Co_5,INF_Co_18,0.0025
TRA_Co_5,INF_Co_19,0.0076
TRA_Co_5,INF_Co_20,0.0035
TRA_Co_5,HEA_Co_3,0.0046
TRA_Co_5,HEA_Co_5,0.006
TRA_Co_5,HEA_Co_6,0.004
TRA_Co_5,HEA_Co_7,0.0147
TRA_Co_5,HEA_Co_8,0.0127
TRA_Co_5,HEA_Co_10,0.0025
TRA_Co_5,HEA_Co_13,0.0191
TRA_Co_5,HEA_Co_14,0.0052
TRA_Co_5,HEA_Co_16,0.0027
TRA_Co_5,HEA_Co_17,0.0169
TRA_Co_5,HEA_Co_20,0.0086
TRA_Co_5,CON_Co_13,0.0017
TRA_Co_5,AGR_Co_1,0.0128
TRA_Co_5,AGR_Co_2,0.0159
TRA_Co_5,AGR_Co_5,0.0091
TRA_Co_5,AGR_Co_9,0.0125
TRA_Co_5,AGR_Co_10,0.0093
TRA_Co_5,AGR_Co_11,0.0112
TRA_Co_5,AGR_Co_15,0.0055
TRA_Co_5,AGR_Co_19,0.0082
TRA_Co_5,TEL_Co_1,0.0012
TRA_Co_5,TEL_Co_3,0.0065
TRA_Co_5,TEL_Co_5,0.0074
TRA_Co_5,TEL_Co_7,0.0123
TRA_Co_5,TEL_Co_8,0.0143
TRA_Co_5,TEL_Co_12,0.0012
TRA_Co_5,TEL_Co_13,0.0133
TRA_Co_5,TEL_Co_14,0.0068
TRA_Co_5,TEL_Co_15,0.0063
TRA_Co_5,TEL_Co_18,0.0026
TRA_Co_5,TEL_Co_19,0.0089
TRA_Co_5,TEL_Co_20,0.0014
TRA_Co_5,MED_Co_2,0.0106
TRA_Co_5,MED_Co_3,0.0109
TRA_Co_5,MED_Co_5,0.007
TRA_Co_5,MED_Co_7,0.014
TRA_Co_5,MED_Co_10,0.0166
TRA_Co_5,MED_Co_16,0.0013
TRA_Co_5,MED_Co_18,0.0203
TRA_Co_5,GOV_Co_4,0.0039
TRA_Co_5,GOV_Co_7,0.0065
TRA_Co_5,GOV_Co_8,0.0012
TRA_Co_5,GOV_Co_14,0.0014
TRA_Co_5,GOV_Co_17,0.002
TRA_Co_5,GOV_Co_19,0.0088
TRA_Co_6,TRA_Co_7,0.0024
TRA_Co_6,TRA_Co_8,0.0021
TRA_Co_6,TRA_Co_9,0.0298
TRA_Co_6,TRA_Co_10,0.003
TRA_Co_6,TRA_Co_12,0.0016
TRA_Co_6,TRA_Co_13,0.0051
TRA_Co_6,TRA_Co_14,0.0289
TRA_Co_6,TRA_Co_17,0.012
TRA_Co_6,TRA_Co_19,0.009
TRA_Co_6,TRA_Co_20,0.0048
TRA_Co_6,MAN_Co_20,0.0011
TRA_Co_6,INF_Co_1,0.001
TRA_Co_6,INF_Co_2,0.0128
TRA_Co_6,INF_Co_3,0.0012
TRA_Co_6,INF_Co_5,0.0043
TRA_Co_6,INF_Co_8,0.005
TRA_Co_6,INF_Co_9,0.0075
TRA_Co_6,INF_Co_13,0.0084
TRA_Co_6,INF_Co_14,0.0041
TRA_Co_6,INF_Co_15,0.0085
TRA_Co_6,INF_Co_17,0.012
TRA_Co_6,INF_Co_18,0.0008
TRA_Co_6,INF_Co_19,0.0008
TRA_Co_6,INF_Co_20,0.0097
TRA_Co_6,HEA_Co_1,0.0011
TRA_Co_6,HEA_Co_2,0.0061
TRA_Co_6,HEA_Co_3,0.0042
TRA_Co_6,HEA_Co_5,0.0019
TRA_Co_6,HEA_Co_6,0.0068
TRA_Co_6,HEA_Co_7,0.0013
TRA_Co_6,HEA_Co_10,0.0028
TRA_Co_6,HEA_Co_12,0.0019
TRA_Co_6,HEA_Co_14,0.0033
TRA_Co_6,HEA_Co_17,0.0085
TRA_Co_6,HEA_Co_19,0.0148
TRA_Co_6,CON_Co_1,0.0013
TRA_Co_6,CON_Co_2,0.0012
TRA_Co_6,CON_Co_8,0.0012
TRA_Co_6,CON_Co_20,0.0012
TRA_Co_6,AGR_Co_2,0.006
TRA_Co_6,AGR_Co_3,0.0019
TRA_Co_6,AGR_Co_4,0.0014
TRA_Co_6,AGR_Co_6,0.0032
TRA_Co_6,AGR_Co_9,0.0052
TRA_Co_6,AGR_Co_10,0.0011
TRA_Co_6,AGR_Co_12,0.0018
TRA_Co_6,AGR_Co_16,0.0176
TRA_Co_6,AGR_Co_18,0.0125
TRA_Co_6,AGR_Co_19,0.001
TRA_Co_6,TEL_Co_1,0.0055
TRA_Co_6,TEL_Co_3,0.0068
TRA_Co_6,TEL_Co_6,0.0022
TRA_Co_6,TEL_Co_7,0.0053
TRA_Co_6,TEL_Co_11,0.0009
TRA_Co_6,TEL_Co_12,0.0065
TRA_Co_6,TEL_Co_13,0.0055
TRA_Co_6,TEL_Co_14,0.0027
TRA_Co_6,TEL_Co_15,0.0077
TRA_Co_6,TEL_Co_16,0.0017
TRA_Co_6,TEL_Co_17,0.0042
TRA_Co_6,MED_Co_2,0.0055
TRA_Co_6,MED_Co_4,0.0013
TRA_Co_6,MED_Co_6,0.0059
TRA_Co_6,MED_Co_7,0.0013
TRA_Co_6,MED_Co_8,0.002
TRA_Co_6,MED_Co_11,0.0141
TRA_Co_6,MED_Co_12,0.0038
TRA_Co_6,MED_Co_13,0.0011
TRA_Co_6,MED_Co_14,0.005
TRA_Co_6,MED_Co_15,0.0065
TRA_Co_6,MED_Co_17,0.0126
TRA_Co_6,MED_Co_18,0.0024
TRA_Co_6,MED_Co_20,0.003
TRA_Co_6,GOV_Co_7,0.0053
TRA_Co_6,GOV_Co_9,0.0013
TRA_Co_6,GOV_Co_10,0.0018
TRA_Co_6,GOV_Co_11,0.0009
TRA_Co_6,GOV_Co_12,0.0033
TRA_Co_6,GOV_Co_14,0.0031
TRA_Co_6,GOV_Co_17,0.0011
TRA_Co_6,GOV_Co_19,0.0012
TRA_Co_6,GOV_Co_20,0.0023
TRA_Co_7,TRA_Co_8,0.0013
TRA_Co_7,TRA_Co_9,0.0072
TRA_Co_7,TRA_Co_10,0.0027
TRA_Co_7,TRA_Co_11,0.0067
TRA_Co_7,TRA_Co_13,0.0361
TRA_Co_7,TRA_Co_14,0.0024
TRA_Co_7,TRA_Co_15,0.018
TRA_Co_7,TRA_Co_16,0.0094
TRA_Co_7,TRA_Co_20,0.0016
TRA_Co_7,MAN_Co_7,0.0011
TRA_Co_7,MAN_Co_8,0.0018
TRA_Co_7,INF_Co_1,0.0103
TRA_Co_7,INF_Co_4,0.002
TRA_Co_7,INF_Co_6,0.0062
TRA_Co_7,INF_Co_7,0.0011
TRA_Co_7,INF_Co_8,0.0013
TRA_Co_7,INF_Co_9,0.0011
TRA_Co_7,INF_Co_12,0.0147
TRA_Co_7,INF_Co_13,0.0012
TRA_Co_7,INF_Co_14,0.0161
TRA_Co_7,INF_Co_18,0.0011
TRA_Co_7,INF_Co_19,0.0112
TRA_Co_7,INF_Co_20,0.0034
TRA_Co_7,HEA_Co_2,0.0017
TRA_Co_7,HEA_Co_3,0.0105
TRA_Co_7,HEA_Co_5,0.0124
TRA_Co_7,HEA_Co_6,0.0057
TRA_Co_7,HEA_Co_7,0.007
TRA_Co_7,HEA_Co_10,0.0022
TRA_Co_7,HEA_Co_12,0.0019
TRA_Co_7,HEA_Co_14,0.0013
TRA_Co_7,HEA_Co_15,0.007
TRA_Co_7,HEA_Co_17,0.0196
TRA_Co_7,HEA_Co_18,0.0044
TRA_Co_7,HEA_Co_20,0.0185
TRA_Co_7,CON_Co_4,0.0016
TRA_Co_7,CON_Co_19,0.0019
TRA_Co_7,AGR_Co_3,0.0116
TRA_Co_7,AGR_Co_4,0.0019
TRA_Co_7,AGR_Co_5,0.0062
TRA_Co_7,AGR_Co_7,0.0109
TRA_Co_7,AGR_Co_9,0.005
TRA_Co_7,AGR_Co_10,0.0226
TRA_Co_7,AGR_Co_11,0.0029
TRA_Co_7,AGR_Co_12,0.0099
TRA_Co_7,AGR_Co_13,0.0068
TRA_Co_7,AGR_Co_14,0.0055
TRA_Co_7,AGR_Co_16,0.0012
TRA_Co_7,AGR_Co_17,0.0215
TRA_Co_7,AGR_Co_18,0.0092
TRA_Co_7,AGR_Co_19,0.0089
TRA_Co_7,AGR_Co_20,0.0028
TRA_Co_7,TEL_Co_1,0.0039
TRA_Co_7,TEL_Co_2,0.0016
TRA_Co_7,TEL_Co_4,0.0023
TRA_Co_7,TEL_Co_5,0.0022
TRA_Co_7,TEL_Co_6,0.0072
TRA_Co_7,TEL_Co_8,0.0031
TRA_Co_7,TEL_Co_10,0.0116
TRA_Co_7,TEL_Co_15,0.0033
TRA_Co_7,TEL_Co_17,0.0051
TRA_Co_7,TEL_Co_18,0.0103
TRA_Co_7,TEL_Co_19,0.0083
TRA_Co_7,TEL_Co_20,0.0042
TRA_Co_7,MED_Co_5,0.0038
TRA_Co_7,MED_Co_6,0.0014
TRA_Co_7,MED_Co_9,0.0135
TRA_Co_7,MED_Co_12,0.0069
TRA_Co_7,MED_Co_13,0.0052
TRA_Co_7,MED_Co_14,0.0034
TRA_Co_7,MED_Co_15,0.0045
TRA_Co_7,MED_Co_16,0.0027
TRA_Co_7,MED_Co_19,0.0018
TRA_Co_7,GOV_Co_7,0.007
TRA_Co_7,GOV_Co_8,0.0022
TRA_Co_7,GOV_Co_10,0.0013
TRA_Co_7,GOV_Co_11,0.0011
TRA_Co_7,GOV_Co_13,0.0018
TRA_Co_7,GOV_Co_15,0.0015
TRA_Co_7,GOV_Co_18,0.0025
TRA_Co_7,GOV_Co_20,0.0033
TRA_Co_8,TRA_Co_10,0.0036
TRA_Co_8,TRA_Co_11,0.0291
TRA_Co_8,TRA_Co_12,0.0011
TRA_Co_8,TRA_Co_13,0.0299
TRA_Co_8,TRA_Co_14,0.0233
TRA_Co_8,TRA_Co_15,0.002
TRA_Co_8,TRA_Co_17,0.0338
TRA_Co_8,TRA_Co_19,0.0068
TRA_Co_8,TRA_Co_20,0.0265
TRA_Co_8,MAN_Co_5,0.0014
TRA_Co_8,MAN_Co_6,0.0013
TRA_Co_8,MAN_Co_8,0.0011
TRA_Co_8,MAN_Co_10,0.0013
TRA_Co_8,MAN_Co_11,0.0019
TRA_Co_8,MAN_Co_14,0.0014
TRA_Co_8,MAN_Co_15,0.0016
TRA_Co_8,MAN_Co_16,0.0014
TRA_Co_8,MAN_Co_17,0.0011
TRA_Co_8,INF_Co_1,0.0156
TRA_Co_8,INF_Co_3,0.016
TRA_Co_8,INF_Co_4,0.0015
TRA_Co_8,INF_Co_5,0.001
TRA_Co_8,INF_Co_6,0.013
TRA_Co_8,INF_Co_7,0.0087
TRA_Co_8,INF_Co_15,0.0049
TRA_Co_8,INF_Co_16,0.0065
TRA_Co_8,INF_Co_17,0.0018
TRA_Co_8,INF_Co_18,0.0055
TRA_Co_8,INF_Co_20,0.009
TRA_Co_8,HEA_Co_1,0.0121
TRA_Co_8,HEA_Co_2,0.0087
TRA_Co_8,HEA_Co_3,0.0013
TRA_Co_8,HEA_Co_5,0.0037
TRA_Co_8,HEA_Co_12,0.006
TRA_Co_8,HEA_Co_13,0.0154
TRA_Co_8,HEA_Co_15,0.0051
TRA_Co_8,HEA_Co_17,0.0034
TRA_Co_8,HEA_Co_18,0.0043
TRA_Co_8,CON_Co_4,0.0012
TRA_Co_8,CON_Co_8,0.0013
TRA_Co_8,AGR_Co_3,0.0073
TRA_Co_8,AGR_Co_4,0.0129
TRA_Co_8,AGR_Co_7,0.0055
TRA_Co_8,AGR_Co_9,0.0022
TRA_Co_8,AGR_Co_11,0.002
TRA_Co_8,AGR_Co_12,0.0015
TRA_Co_8,AGR_Co_13,0.0024
TRA_Co_8,AGR_Co_16,0.0017
TRA_Co_8,AGR_Co_19,0.0026
TRA_Co_8,TEL_Co_2,0.0056
TRA_Co_8,TEL_Co_8,0.0055
TRA_Co_8,TEL_Co_9,0.0035
TRA_Co_8,TEL_Co_11,0.0058
TRA_Co_8,TEL_Co_12,0.004
TRA_Co_8,TEL_Co_13,0.0015
TRA_Co_8,TEL_Co_17,0.0127
TRA_Co_8,TEL_Co_18,0.01
TRA_Co_8,TEL_Co_20,0.0099
TRA_Co_8,MED_Co_3,0.0061
TRA_Co_8,MED_Co_4,0.006
TRA_Co_8,MED_Co_5,0.0162
TRA_Co_8,MED_Co_6,0.0031
TRA_Co_8,MED_Co_8,0.0172
TRA_Co_8,MED_Co_10,0.0101
TRA_Co_8,MED_Co_11,0.0119
TRA_Co_8,MED_Co_13,0.0038
TRA_Co_8,MED_Co_14,0.0033
TRA_Co_8,MED_Co_15,0.0015
TRA_Co_8,MED_Co_16,0.0033
TRA_Co_8,MED_Co_19,0.0015
TRA_Co_8,MED_Co_20,0.0014
TRA_Co_8,GOV_Co_4,0.001
TRA_Co_8,GOV_Co_5,0.002
TRA_Co_8,GOV_Co_7,0.0025
TRA_Co_8,GOV_Co_11,0.0047
TRA_Co_8,GOV_Co_15,0.0037
TRA_Co_8,GOV_Co_16,0.0024
TRA_Co_8,GOV_Co_18,0.0011
TRA_Co_8,GOV_Co_19,0.0017
TRA_Co_9,TRA_Co_12,0.0101
TRA_Co_9,TRA_Co_16,0.043
